uid,grant_refe,project_na,project_ty,osgr,easting,northing,site_name,restoratio,start_date,end_date,financial_year_end,snh_area,unitary_lo,applicant_type
501246-NS678508,501246,2 of 5 - Restoration at Waukenwae Moss SSSI,Restoration,NS678508,267800,650800,Waukenwae Moss – Clark,Waukenwae Moss,28/10/2019,11/11/2019,2019-20,Strathclyde and Ayrshire,Fife & Central Belt,Private
501247-NS688501,501247,3 of 5 - Restoration at Waukenwae Moss SSSI,Restoration,NS688501,268800,650100,Waukenwae Moss – Warnock,Waukenwae Moss,28/10/2019,11/11/2019,2019-20,Strathclyde and Ayrshire,Fife & Central Belt,Private
501248-NS688506,501248,4 of 5 - Restoration at Waukenwae Moss SSSI,Restoration,NS688506,268800,650600,Waukenwae Moss – Frame,Waukenwae Moss,28/10/2019,11/11/2019,2019-20,Strathclyde and Ayrshire,Fife & Central Belt,Private
501249-NS689504,501249,5 of 5 - Restoration at Waukenwae Moss SSSI,Restoration,NS689504,268900,650400,Waukenwae Moss – Leggate,Waukenwae Moss,28/10/2019,11/11/2019,2019-20,Strathclyde and Ayrshire,Fife & Central Belt,Private
501640-NS66615096,501640,Quarry Farm Peatland Restoration Project,Restoration,NS66615096,266610,650960,Quarry Farm Peatland,,,,2020-21,,Fife & Central Belt,Private
501642-NS92634858,501642,Blacklaw Moss Peatland Restoration Project,Restoration,NS92634858,292630,648580,Blacklaw Moss,,,,2020-21,,Fife & Central Belt,Private
12426-NN382036,12426,Loch Lomond and the Trossachs National Park - Phase 2 - Ground Truthing Image Analysis and Land owner engagement,Other,NN382036,238200,703600,Loch Lomond and the Trossachs National Park,,,,2014-15,,Loch Lomond & the Trossachs National Park,Public
12441-NS3900798946,12441,Peatland Restoration on steeper sites - Ben Lomond,Restoration,NS3900798946,239007,698946,"Ben Lomond (Beinn Uird, Tom Fithich)",,21/01/2014,26/03/2016,2014-15,Forth,Loch Lomond & the Trossachs National Park,NGO
12441-NN3633001043,12441,Peatland Restoration on steeper sites - Ben Lomond,Restoration,NN3633001043,236330,701043,"Ben Lomond (Beinn Uird, Tom Fithich)",,21/01/2014,26/03/2016,2014-15,Forth,Loch Lomond & the Trossachs National Park,NGO
12570-NN3679031713,12570,LL&TNP Phase 3 - restoration work on the Scottish Rural College Hill and Mountain Research Centre,Restoration,NN3679031713,236790,731713,Loch Lomond and the Trossachs National Park,Loch Lomond & The Trossachs National Park Authority,07/10/2014,15/03/2015,2014-15,Forth,Loch Lomond & the Trossachs National Park,Private
500797-NN3423032342,500797,Peatland Restoration - Phase 2 - Northern Extension,Restoration,NN3423032342,234230,732342,Phase 2 Northern extension,Loch Lomond & The Trossachs National Park Authority,22/02/2016,21/03/2016,2015-16,Forth,Loch Lomond & the Trossachs National Park,Private
500801-NN5251832378,500801,Auchlyne & Suie Peatland Restoration,Restoration,NN5251832378,252518,732378,Auchlyne & Suie,Loch Lomond & The Trossachs National Park Authority,,,2015-16,Forth,Loch Lomond & the Trossachs National Park,Private
500805-NN3553006290,500805,Peatland Restoration on the Comer Estate,Restoration,NN3553006290,235530,706290,Comer Estate,Loch Lomond & The Trossachs National Park Authority,25/01/2016,21/03/2016,2015-16,Forth,Loch Lomond & the Trossachs National Park,Public
500903-NN5220032500,500903,Auchlyne and Suie Peatland Restoration,Restoration,NN5220032500,252200,732500,Auchlyne & Suie,Loch Lomond & The Trossachs National Park Authority,01/02/2017,28/04/2017,2016-17,Forth,Loch Lomond & the Trossachs National Park,Public
500958-NN3670001400,500958,Ben Lomond Peatland Restoration,Restoration,NN3670001400,236700,701400,"Ben Lomond - North sites, Coire Odhar",NTS - Ben Lomond,10/10/2017,21/11/2017,2017-18,Forth,Loch Lomond & the Trossachs National Park,NGO
500958-NN3770000800,500958,Ben Lomond Peatland Restoration,Restoration,NN3770000800,237700,700800,"Ben Lomond - North sites, West Glashlet",NTS - Ben Lomond,10/10/2017,21/11/2017,2017-18,Forth,Loch Lomond & the Trossachs National Park,NGO
500958-NN3800001500,500958,Ben Lomond Peatland Restoration,Restoration,NN3800001500,238000,701500,"Ben Lomond - North sites, East Glashlet",NTS - Ben Lomond,10/10/2017,21/11/2017,2017-18,Forth,Loch Lomond & the Trossachs National Park,NGO
500958-NS3890099200,500958,Ben Lomond Peatland Restoration,Restoration,NS3890099200,238900,699200,"Ben Lomond - South sites, Elrig",NTS - Ben Lomond,10/10/2017,21/11/2017,2017-18,Forth,Loch Lomond & the Trossachs National Park,NGO
500958-NS4040099400,500958,Ben Lomond Peatland Restoration,Restoration,NS4040099400,240400,699400,"Ben Lomond - South sites, NE Beinn Uird",NTS - Ben Lomond,10/10/2017,21/11/2017,2017-18,Forth,Loch Lomond & the Trossachs National Park,NGO
500958-NS3990098700,500958,Ben Lomond Peatland Restoration,Restoration,NS3990098700,239900,698700,"Ben Lomond - South sites, Beinn Uird",NTS - Ben Lomond,10/10/2017,21/11/2017,2017-18,Forth,Loch Lomond & the Trossachs National Park,NGO
500958-NS3980097800,500958,Ben Lomond Peatland Restoration,Restoration,NS3980097800,239800,697800,"Ben Lomond - South sites, south Beinn Uird",NTS - Ben Lomond,10/10/2017,21/11/2017,2017-18,Forth,Loch Lomond & the Trossachs National Park,NGO
501014-NN4770029900,501014,Restoration of Innishewan Ford,Restoration,NN4770029900,247700,729900,Auchlyne and Suie - Innishewan Ford,Auchlyne and Suie,30/01/2018,20/04/2018,2017-18,Forth,Loch Lomond & the Trossachs National Park,Private
501017-NN3520017800,501017,Restoration of Oss Flats & Ben Glas Burn,Restoration,NN3520017800,235200,717800,Ben Glas Burn,Glenfalloch Estate,23/07/2018,28/09/2018,2017-18,Argyll and the Outer Hebrides,Loch Lomond & the Trossachs National Park,Private
501017-NN3050022100,501017,Restoration of Oss Flats & Ben Glas Burn,Restoration,NN3050022100,230500,722100,Oss Flats,Glenfalloch Estate,,,2017-18,Forth,Loch Lomond & the Trossachs National Park,Private
